tempo                     vel                         tempo            pos                tempo               in                    tempo         esf
                      1111                   -0,541992             1111           -7,56836                1111                    -6          1111         -1,2785
                      1112                   -0,546875             1112           -7,62695                1112                    -6          1112        -1,27717
                      1113                   -0,546875             1113            -7,7002                1113                    -6          1113        -1,27874
                      1114                   -0,537109             1114           -7,77832                1114                    -6          1114        -1,28595
                      1115                   -0,532227             1115           -7,82715                1115                    -6          1115        -1,28978
                      1116                    -0,50293             1116           -7,89063                1116                    -6          1116         -1,3078
                      1117                    -0,50293             1117           -7,94922                1117                    -6          1117        -1,30736
                      1118                   -0,507813             1118            -8,0127                1118                    -6          1118        -1,30406
                      1119                   -0,498047             1119           -8,07129                1119                    -6          1119        -1,30967
                      1120                   -0,737305             1120           -8,11035                1120                    -6          1120        -1,16733
                      1121                   -0,361328             1121           -8,18359                1121                    -6          1121        -1,39824
                      1122                   -0,493164             1122           -8,26172                1122                    -6          1122        -1,31396
                      1123                   -0,473633             1123           -8,31055                1123                    -6          1123        -1,32471
                      1124                   -0,488281             1124           -8,35938                1124                    -6          1124        -1,31458
                      1125                   -0,478516             1125           -8,43262                1125                    -6          1125         -1,3196
                      1126                   -0,473633             1126           -8,47656                1126                    -6          1126        -1,32145
                      1127                   -0,478516             1127           -8,54492                1127                    -6          1127        -1,31744
                      1128                    -0,46875             1128           -8,59863                1128                    -6          1128         -1,3224
                      1129                    -0,46875             1129           -8,64258                1129                    -6          1129         -1,3213
                      1130                   -0,478516             1130           -8,71094                1130                    -6          1130        -1,31453
                      1131                   -0,483398             1131           -8,76953                1131                    -6          1131         -1,3111
                      1132                   -0,493164             1132           -8,83301                1132                    -6          1132          -1,305
                      1133                   -0,493164             1133           -8,88184                1133                    -6          1133        -1,30507
                      1134                   -0,507813             1134           -8,95996                1134                    -6          1134        -1,29644
                      1135                   -0,512695             1135           -9,01856                1135                    -6          1135        -1,29412
                      1136                   -0,527344             1136            -9,0918                1136                    -6          1136        -1,28613
                      1137                   -0,532227             1137           -9,13574                1137                    -6          1137        -1,28438
                      1138                   -0,532227             1138           -9,21387                1138                    -6          1138        -1,28558
                      1139                   -0,551758             1139            -9,2627                1139                    -6          1139        -1,27509
                      1140                   -0,546875             1140           -9,16016                1140                    -6          1140        -1,27965
                      1141                   -0,556641             1141           -9,41895                1141                    -6          1141        -1,27519
                      1142                   -0,541992             1142           -9,47754                1142                    -6          1142        -1,28542
                      1143                   -0,537109             1143           -9,52637                1143                    -6          1143        -1,28918
                      1144                   -0,498047             1144           -9,60938                1144                    -6          1144        -1,31294
                      1145                    -0,50293             1145           -9,67774                1145                    -6          1145         -1,3092
                      1146                   -0,488281             1146           -9,72656                1146                    -6          1146         -1,3173
                      1147                   -0,488281             1147           -9,78516                1147                    -6          1147        -1,31626
                      1148                   -0,498047             1148            9,37012                1148                    -6          1148        -1,30952
